district	district-en	openDate	closeDate	age
종로구	Jongno-gu	2006-04-16T23:00Z	2011-08-30T23:00Z	5.375342465753425
종로구	Jongno-gu	1992-09-29T23:00Z	2008-01-18	15.309703196347032
종로구	Jongno-gu	1992-09-29T23:00Z		26.66145657889396
종로구	Jongno-gu	2008-01-25	2013-08-19T23:00Z	5.572488584474886
종로구	Jongno-gu	2008-01-28		11.324356122272958
종로구	Jongno-gu	1999-06-08T23:00Z	2003-04-17T23:00Z	3.8602739726027395
종로구	Jongno-gu	1999-06-09T23:00Z	2004-02-05	4.6603881278538815
종로구	Jongno-gu	1999-06-15T23:00Z	2003-04-22T23:00Z	3.8547945205479452
종로구	Jongno-gu	1999-06-24T23:00Z	1999-12-03	0.4412100456621005
종로구	Jongno-gu	1992-12-16		26.450383519533233
종로구	Jongno-gu	1998-10-21T23:00Z	2002-07-26T23:00Z	3.7643835616438355
종로구	Jongno-gu	1998-10-22T23:00Z	2018-04-04T23:00Z	19.46301369863014
종로구	Jongno-gu	1998-10-27	2008-08-03T23:00Z	9.77796803652968
종로구	Jongno-gu	1998-11-02	1999-10-11T23:00Z	0.942351598173516
종로구	Jongno-gu	1995-08-01T23:00Z	2007-08-22T23:00Z	12.065753424657535
종로구	Jongno-gu	1996-09-22T23:00Z	2006-04-13T23:00Z	9.561643835616438
종로구	Jongno-gu	1996-10-09T23:00Z	2013-05-02T23:00Z	16.572602739726026
종로구	Jongno-gu	1996-10-09T23:00Z	2000-08-10T23:00Z	3.8383561643835615
종로구	Jongno-gu	1996-10-09T23:00Z		22.631319592592593
종로구	Jongno-gu	1998-12-08		20.46956160172501
종로구	Jongno-gu	1998-12-11	2001-01-24	2.1232876712328768
종로구	Jongno-gu	1999-10-18T23:00Z	2007-04-25T23:00Z	7.523287671232877
종로구	Jongno-gu	1999-10-18T23:00Z	2000-09-24T23:00Z	0.936986301369863
종로구	Jongno-gu	1999-10-28T23:00Z	2008-02-28	8.339840182648402
종로구	Jongno-gu	1999-11-10		19.546273930492134
종로구	Jongno-gu	1999-11-10	2001-06-19T23:00Z	1.6108447488584474
종로구	Jongno-gu	1999-11-10	2004-08-31T23:00Z	4.813584474885845
종로구	Jongno-gu	1999-11-15	2007-11-05	7.978082191780822
종로구	Jongno-gu	1999-11-20	2005-06-09T23:00Z	5.558789954337899
종로구	Jongno-gu	1999-11-25		19.505178040081177
